"Species";"EstimateLogit";"Std.errorLogit";"Trend";"Presence";"Total";"Flower_colour";"Flower_shape";"Nectar_qty";"Pct_insect_dep";"Pct_wind_dep";"Pollination"
"Alopecurus pratensis";0.115;0.021;"Increase";109;367;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Amaranthus deflexus";-0.004;0.042;"Trendless";16;100;"VPR";"d";NA;0;66.6666666666667;"Wind-pollinated"
"Amaranthus hybridus";0.097;0.022;"Increase";61;330;"VPR";"d";"absence";0;75;"Wind-pollinated"
"Amaranthus retroflexus";-0.018;0.026;"Trendless";48;316;"Gr";"d";"absence";0;80;"Wind-pollinated"
"Amelanchier ovalis";-0.014;0.038;"Trendless";58;94;"W";"d";"abundant";75;0;"Insect-pollinated"
"Anacamptis pyramidalis";0.038;0.037;"Increase";47;139;"VPR";"l";"absence";100;0;"Insect-pollinated"
"Anemone hepatica";-0.246;0.07;"Decline";48;85;"B";"d";"absence";75;0;"Insect-pollinated"
"Anemone nemorosa";-0.037;0.013;"Decline";206;561;"W";"d";"absence";71.4285714285714;0;"Insect-pollinated"
"Angelica sylvestris";-0.001;0.031;"Trendless";59;149;"W";"h";"abundant";100;0;"Insect-pollinated"
"Anisantha diandra";-0.05;0.025;"Decline";40;210;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Anisantha madritensis";0.09;0.057;"Increase";33;101;"Gr";"br";"absence";0;50;"Wind-pollinated"
"Anisantha sterilis";-0.018;0.007;"Decline";689;2414;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Anthemis arvensis";-0.097;0.058;"Decline";31;94;"W";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Anthoxanthum odoratum";0.051;0.011;"Increase";324;664;"Ye";"br";"absence";0;87.5;"Wind-pollinated"
"Anthriscus caucalis";-0.117;0.038;"Decline";23;124;"W";"h";NA;33.3333333333333;0;"Other"
"Anthriscus sylvestris";-0.034;0.014;"Decline";193;804;"W";"h";"abundant";100;0;"Insect-pollinated"
"Anthyllis vulneraria";0.041;0.036;"Increase";70;123;"Ye";"fl";"abundant";85.7142857142857;0;"Insect-pollinated"
"Apera spica-venti";-0.073;0.014;"Decline";141;653;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Aphanes arvensis";-0.22;0.033;"Decline";49;311;"Gr";"d";"absence";25;0;"Other"
"Aphyllanthes monspeliensis";0.032;0.025;"Increase";191;217;"B";"b";NA;100;0;"Insect-pollinated"
"Arabidopsis thaliana";-0.126;0.063;"Decline";22;120;"W";"d";"little";50;0;"Insect-pollinated"
"Arbutus unedo";0.004;0.043;"Trendless";88;121;"W";"b";NA;100;0;"Insect-pollinated"
"Arctium lappa";-0.073;0.039;"Decline";51;183;"VPR";"h";"abundant";66.6666666666667;0;"Insect-pollinated"
"Arctium minus";0.013;0.033;"Trendless";51;286;"VPR";"h";NA;77.7777777777778;0;"Insect-pollinated"
"Arenaria serpyllifolia";-0.037;0.023;"Decline";104;352;"W";"d";"little";60;0;"Insect-pollinated"
"Argentina anserina";-0.097;0.04;"Decline";40;101;"Ye";"d";NA;100;0;"Insect-pollinated"
"Argyrolobium zanonii";0.034;0.037;"Trendless";66;90;"Ye";"fl";NA;100;0;"Insect-pollinated"
"Arrhenatherum elatius";0.088;0.007;"Increase";924;1871;"VPR";"br";"absence";0;75;"Wind-pollinated"
"Artemisia vulgaris";-0.065;0.012;"Decline";318;1197;"W";"h";"absence";16.6666666666667;83.3333333333333;"Wind-pollinated"
"Arum italicum";0.061;0.037;"Increase";65;180;"W";"t";NA;100;0;"Insect-pollinated"
"Arum maculatum";-0.003;0.021;"Trendless";145;450;"Gr";"t";"little";100;0;"Insect-pollinated"
"Asparagus acutifolius";0.064;0.02;"Increase";224;388;"Ye";"b";NA;100;0;"Insect-pollinated"
"Asperula cynanchica";0.172;0.05;"Increase";42;87;"VPR";"d";"abundant";80;0;"Insect-pollinated"
"Asphodelus ramosus";-0.215;0.047;"Decline";96;115;"VPR";"d";NA;100;0;"Insect-pollinated"
"Astragalus monspessulanus";-0.142;0.055;"Decline";32;60;"VPR";"fl";NA;100;0;"Insect-pollinated"
"Atriplex patula";0.194;0.029;"Increase";64;392;"Gr";"d";"little";37.5;50;"Wind-pollinated"
"Atriplex prostrata";-0.203;0.05;"Decline";35;88;"Gr";"d";NA;40;50;"Wind-pollinated"
"Avena barbata";0.124;0.047;"Increase";61;128;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Avena fatua";-0.048;0.008;"Decline";473;1775;"Gr";"br";"absence";0;83.3333333333333;"Wind-pollinated"
"Avena sativa";0.028;0.025;"Increase";58;266;"Gr";"br";"absence";0;50;"Wind-pollinated"
"Avena sterilis";0.206;0.046;"Increase";40;93;"Gr";"br";"absence";0;87.5;"Wind-pollinated"
"Avenella flexuosa";-0.026;0.022;"Decline";158;270;"W";"br";"absence";0;100;"Wind-pollinated"
"Avenula pubescens";-0.182;0.062;"Decline";21;119;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Bellis perennis";-0.036;0.011;"Decline";510;1070;"W";"h";"abundant";71.4285714285714;0;"Insect-pollinated"
"Beta vulgaris";0.12;0.025;"Increase";49;198;"VPR";"d";"abundant";0;80;"Wind-pollinated"
"Betonica officinalis";-0.068;0.034;"Decline";57;129;"VPR";"l";"little";66.6666666666667;0;"Insect-pollinated"
"Betula pendula";-0.005;0.02;"Trendless";173;542;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Betula pubescens";-0.009;0.019;"Trendless";101;335;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Bituminaria bituminosa";0.137;0.033;"Increase";126;167;"B";"fl";NA;100;0;"Insect-pollinated"
"Blackstonia perfoliata";0.104;0.033;"Increase";48;126;"Ye";"dt";NA;16.6666666666667;0;"Other"
"Brachypodium phoenicoides";0.099;0.031;"Increase";55;114;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Brachypodium pinnatum";-0.034;0.016;"Decline";178;410;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Brachypodium retusum";0.069;0.023;"Increase";168;257;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Brachypodium rupestre";0.377;0.039;"Increase";43;143;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Brachypodium sylvaticum";0.071;0.008;"Increase";580;1358;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Briza media";0.076;0.039;"Increase";77;125;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Briza minor";0.262;0.065;"Increase";32;64;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Bromopsis erecta";0.032;0.021;"Increase";200;511;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Bromus arvensis";-0.02;0.034;"Trendless";42;192;"VPR";"br";"absence";0;50;"Wind-pollinated"
"Bromus commutatus";0.099;0.032;"Increase";30;191;"Gr";"br";"absence";0;80;"Wind-pollinated"
"Bromus hordeaceus";0.038;0.009;"Increase";451;1461;"Gr";"br";"absence";0;70;"Wind-pollinated"
"Bromus racemosus";-0.204;0.031;"Decline";50;344;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Bromus secalinus";-0.108;0.03;"Decline";36;216;"Gr";"br";"absence";0;66.6666666666667;"Wind-pollinated"
"Bryonia dioica";-0.148;0.035;"Decline";63;184;"W";"d";"abundant";100;0;"Insect-pollinated"
"Buglossoides arvensis";0.008;0.076;"Trendless";17;75;"W";"f";NA;50;0;"Insect-pollinated"
"Buxus sempervirens";-0.093;0.021;"Decline";215;241;"Gr";"br";"abundant";83.3333333333333;16.6666666666667;"Insect-pollinated"
"Calamagrostis epigejos";-0.015;0.03;"Trendless";42;202;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Calendula arvensis";-0.065;0.045;"Decline";28;55;"Ye";"h";NA;60;0;"Insect-pollinated"
"Calluna vulgaris";-0.008;0.017;"Trendless";224;376;"VPR";"b";"abundant";44.4444444444444;55.5555555555556;"Wind-pollinated"
"Campanula rapunculoides";0.175;0.076;"Increase";14;81;"B";"b";"little";66.6666666666667;0;"Insect-pollinated"
"Campanula rapunculus";0.186;0.029;"Increase";76;262;"B";"b";NA;50;0;"Insect-pollinated"
"Campanula rotundifolia";-0.074;0.041;"Decline";68;108;"B";"b";"abundant";85.7142857142857;0;"Insect-pollinated"
"Capsella bursa-pastoris";-0.062;0.013;"Decline";281;1110;"W";"d";"little";50;0;"Insect-pollinated"
"Cardamine hirsuta";-0.047;0.024;"Decline";102;389;"W";"d";"abundant";33.3333333333333;0;"Other"
"Cardamine pratensis";-0.089;0.053;"Decline";47;112;"VPR";"d";"abundant";90.9090909090909;0;"Insect-pollinated"
"Carduus nutans";-0.07;0.049;"Decline";14;71;"VPR";"h";"little";66.6666666666667;0;"Insect-pollinated"
"Carduus pycnocephalus";0.001;0.047;"Trendless";61;103;"VPR";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Carex acutiformis";0.041;0.044;"Trendless";26;87;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Carex caryophyllea";-0.032;0.057;"Trendless";22;46;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Carex divulsa";0.032;0.033;"Trendless";43;175;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Carex flacca";-0.001;0.015;"Trendless";249;456;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Carex halleriana";0.174;0.044;"Increase";119;176;"W";"br";"absence";0;100;"Wind-pollinated"
"Carex hirta";0.11;0.027;"Increase";80;213;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Carex humilis";0.129;0.045;"Increase";53;73;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Carex pallescens";-0.126;0.054;"Decline";31;83;"Gr";"br";NA;0;100;"Wind-pollinated"
"Carex pendula";0.283;0.056;"Increase";43;79;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Carex pilulifera";-0.115;0.026;"Decline";85;269;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Carex remota";-0.098;0.034;"Decline";45;154;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Carex spicata";-0.088;0.045;"Decline";23;108;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Carex sylvatica";0.141;0.011;"Increase";386;898;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Carpinus betulus";-0.005;0.006;"Trendless";1056;1891;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Castanea sativa";-0.046;0.01;"Decline";493;866;"Gr";"br";"abundant";42.8571428571429;42.8571428571429;"Other"
"Catapodium rigidum";0.072;0.043;"Increase";45;188;"Gr";"br";"absence";0;83.3333333333333;"Wind-pollinated"
"Celtis australis";0.263;0.074;"Increase";24;58;"Gr";"d";NA;0;100;"Wind-pollinated"
"Centaurea aspera";0.269;0.1;"Increase";23;40;"VPR";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Centaurea decipiens";0.158;0.032;"Increase";56;124;"VPR";"h";"abundant";75;0;"Insect-pollinated"
"Centaurea jacea";0.038;0.02;"Increase";159;408;"VPR";"h";"abundant";75;0;"Insect-pollinated"
"Centaurea nigra";0.105;0.033;"Increase";77;176;"VPR";"h";"very abundant";85.7142857142857;0;"Insect-pollinated"
"Centaurea scabiosa";0.061;0.042;"Increase";50;105;"VPR";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Centaurium erythraea";0.06;0.034;"Increase";42;171;"VPR";"dt";"absence";77.7777777777778;0;"Insect-pollinated"
"Cerastium arvense";-0.117;0.044;"Decline";52;142;"W";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Cerastium fontanum";-0.045;0.011;"Decline";390;1167;"W";"d";"absence";75;0;"Insect-pollinated"
"Cerastium glomeratum";-0.074;0.024;"Decline";133;381;"W";"d";"absence";0;0;"Other"
"Cerastium pumilum";0.117;0.035;"Increase";27;88;"W";"d";NA;33.3333333333333;0;"Other"
"Ceratochloa cathartica";0.651;0.115;"Increase";23;75;"Gr";"br";"absence";0;50;"Wind-pollinated"
"Chaenorhinum minus";-0.058;0.04;"Decline";22;146;"B";"fl";NA;40;0;"Other"
"Chaerophyllum temulum";0.059;0.022;"Increase";112;445;"W";"h";"abundant";100;0;"Insect-pollinated"
"Chelidonium majus";0.04;0.038;"Increase";46;126;"Ye";"d";"absence";71.4285714285714;0;"Insect-pollinated"
"Chenopodiastrum hybridum";-0.15;0.028;"Decline";37;230;"Gr";"d";"absence";33.3333333333333;66.6666666666667;"Wind-pollinated"
"Chenopodium album";0.011;0.006;"Increase";742;2654;"W";"d";"absence";0;100;"Wind-pollinated"
"Cichorium intybus";0.148;0.05;"Increase";51;93;"B";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Circaea lutetiana";0.022;0.014;"Increase";200;501;"W";"d";"little";66.6666666666667;0;"Insect-pollinated"
"Cirsium acaulon";-0.043;0.087;"Trendless";28;43;"VPR";"h";NA;83.3333333333333;0;"Insect-pollinated"
"Cirsium arvense";0.005;0.006;"Trendless";929;2822;"VPR";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Cirsium palustre";0.048;0.039;"Increase";55;129;"VPR";"h";"very abundant";80;0;"Insect-pollinated"
"Cirsium vulgare";-0.073;0.013;"Decline";302;1413;"VPR";"h";"very abundant";83.3333333333333;0;"Insect-pollinated"
"Cistus albidus";0.033;0.037;"Trendless";65;97;"VPR";"d";NA;100;0;"Insect-pollinated"
"Cistus monspeliensis";-0.026;0.034;"Trendless";119;182;"W";"d";NA;100;0;"Insect-pollinated"
"Cistus salviifolius";-0.022;0.033;"Trendless";98;146;"W";"d";NA;100;0;"Insect-pollinated"
"Clematis flammula";0.072;0.034;"Increase";95;166;"W";"d";NA;100;0;"Insect-pollinated"
"Clematis vitalba";0.076;0.009;"Increase";517;1205;"W";"d";"abundant";85.7142857142857;0;"Insect-pollinated"
"Clinopodium nepeta";0.059;0.033;"Increase";58;187;"VPR";"l";"little";100;0;"Insect-pollinated"
"Clinopodium vulgare";0.057;0.034;"Increase";60;232;"VPR";"l";"abundant";83.3333333333333;0;"Insect-pollinated"
"Conopodium majus";-0.096;0.048;"Decline";43;85;"W";"h";"abundant";100;0;"Insect-pollinated"
"Convallaria majalis";0.003;0.017;"Trendless";159;254;"W";"b";"abundant";44.4444444444444;11.1111111111111;"Other"
"Convolvulus arvensis";-0.024;0.006;"Decline";1461;3390;"VPR";"f";"abundant";71.4285714285714;0;"Insect-pollinated"
"Convolvulus sepium";0.021;0.01;"Increase";431;1008;"W";"f";NA;83.3333333333333;0;"Insect-pollinated"
"Cornus mas";-0.163;0.02;"Decline";105;373;"W";"d";"abundant";100;0;"Insect-pollinated"
"Cornus sanguinea";0.059;0.009;"Increase";601;1177;"W";"d";"little";100;0;"Insect-pollinated"
"Coronilla minima";-0.019;0.041;"Trendless";56;80;"Ye";"fl";"absence";100;0;"Insect-pollinated"
"Coronilla varia";0.084;0.021;"Increase";61;154;"B";"fl";"little";100;0;"Insect-pollinated"
"Corylus avellana";0.029;0.01;"Increase";618;1186;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Crataegus laevigata";-0.25;0.045;"Decline";59;183;"W";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Crataegus monogyna";-0.001;0.007;"Trendless";1005;1896;"W";"d";"abundant";85.7142857142857;0;"Insect-pollinated"
"Crepis biennis";-0.241;0.092;"Decline";13;37;"Ye";"h";"abundant";80;0;"Insect-pollinated"
"Crepis capillaris";-0.035;0.013;"Decline";285;901;"Ye";"h";"abundant";100;0;"Insect-pollinated"
"Crepis foetida";-0.054;0.039;"Decline";34;103;"Ye";"h";NA;80;0;"Insect-pollinated"
"Crepis sancta";0.113;0.03;"Increase";87;236;"Ye";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Crepis setosa";-0.018;0.022;"Trendless";92;503;"Ye";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Crepis vesicaria";0.092;0.031;"Increase";57;232;"Ye";"h";NA;85.7142857142857;0;"Insect-pollinated"
"Cruciata laevipes";-0.041;0.022;"Decline";113;258;"Ye";"d";NA;85.7142857142857;0;"Insect-pollinated"
"Cyanus segetum";0.199;0.046;"Increase";25;66;"B";"h";NA;100;0;"Insect-pollinated"
"Cynodon dactylon";-0.029;0.025;"Decline";92;269;"VPR";"br";"absence";0;80;"Wind-pollinated"
"Cynosurus cristatus";0.066;0.029;"Increase";99;169;"Gr";"br";"absence";0;85.7142857142857;"Wind-pollinated"
"Cynosurus echinatus";0.111;0.058;"Increase";35;89;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Cytisus scoparius";0.056;0.017;"Increase";220;579;"Ye";"fl";"absence";85.7142857142857;0;"Insect-pollinated"
"Dactylis glomerata";0.038;0.006;"Increase";1831;3259;"Gr";"br";"absence";20;70;"Wind-pollinated"
"Danthonia decumbens";-0.117;0.039;"Decline";37;106;"Gr";"br";"absence";0;28.5714285714286;"Other"
"Daphne laureola";0.069;0.05;"Increase";46;78;"Gr";"dt";"abundant";100;0;"Insect-pollinated"
"Datura stramonium";0.135;0.058;"Increase";18;105;"W";"dt";"abundant";75;0;"Insect-pollinated"
"Daucus carota";-0.026;0.008;"Decline";876;2322;"W";"h";"abundant";83.3333333333333;0;"Insect-pollinated"
"Deschampsia cespitosa";-0.02;0.027;"Trendless";107;217;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Digitalis purpurea";-0.08;0.034;"Decline";59;142;"VPR";"b";"abundant";100;0;"Insect-pollinated"
"Digitaria sanguinalis";-0.119;0.02;"Decline";97;294;"VPR";"br";"absence";0;75;"Wind-pollinated"
"Dioscorea communis";0.003;0.017;"Trendless";220;446;"Ye";"d";"little";100;0;"Insect-pollinated"
"Diplotaxis erucoides";-0.248;0.07;"Decline";23;43;"W";"d";NA;50;0;"Insect-pollinated"
"Diplotaxis tenuifolia";0.043;0.064;"Trendless";27;77;"Ye";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Dipsacus fullonum";-0.148;0.054;"Decline";44;147;"VPR";"f";"abundant";60;0;"Insect-pollinated"
"Draba verna";0.059;0.055;"Increase";23;83;"W";"d";"little";25;0;"Other"
"Echinochloa crus-galli";0.027;0.014;"Increase";138;622;"VPR";"br";"absence";0;66.6666666666667;"Wind-pollinated"
"Echium vulgare";-0.192;0.032;"Decline";70;164;"B";"b";"very abundant";100;0;"Insect-pollinated"
"Elymus caninus";-0.019;0.072;"Trendless";31;103;"Gr";"br";"absence";0;88.8888888888889;"Wind-pollinated"
"Elytrigia campestris";-0.064;0.036;"Decline";112;430;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Elytrigia repens";0.018;0.009;"Increase";460;1542;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Epilobium angustifolium";-0.083;0.066;"Decline";15;55;"VPR";"d";"very abundant";85.7142857142857;0;"Insect-pollinated"
"Epilobium hirsutum";-0.15;0.033;"Decline";66;266;"VPR";"d";"abundant";80;0;"Insect-pollinated"
"Epilobium montanum";0.034;0.034;"Trendless";65;218;"VPR";"d";"abundant";71.4285714285714;0;"Insect-pollinated"
"Epilobium parviflorum";-0.231;0.039;"Decline";39;244;"VPR";"d";"abundant";71.4285714285714;0;"Insect-pollinated"
"Epilobium tetragonum";-0.085;0.014;"Decline";207;1028;"VPR";"d";"little";12.5;0;"Other"
"Epipactis helleborine";0.039;0.037;"Increase";43;133;"VPR";"l";"absence";71.4285714285714;0;"Insect-pollinated"
"Erica arborea";-0.164;0.038;"Decline";82;121;"W";"b";NA;100;0;"Insect-pollinated"
"Erica cinerea";-0.033;0.022;"Decline";108;197;"VPR";"b";"very abundant";50;0;"Insect-pollinated"
"Erigeron annuus";-0.043;0.027;"Decline";73;183;"W";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Erigeron canadensis";-0.02;0.012;"Decline";295;1100;"W";"h";NA;80;0;"Insect-pollinated"
"Erigeron sumatrensis";-0.028;0.022;"Decline";121;421;"W";"h";NA;66.6666666666667;0;"Insect-pollinated"
"Erodium cicutarium";-0.031;0.02;"Decline";118;373;"VPR";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Ervilia hirsuta";-0.001;0.013;"Trendless";257;826;"W";"fl";NA;80;0;"Insect-pollinated"
"Ervum tetraspermum";-0.152;0.029;"Decline";62;260;"VPR";"fl";NA;83.3333333333333;0;"Insect-pollinated"
"Eryngium campestre";0.134;0.022;"Increase";143;285;"W";"h";"very abundant";85.7142857142857;0;"Insect-pollinated"
"Euonymus europaeus";0.122;0.013;"Increase";287;734;"W";"d";"little";100;0;"Insect-pollinated"
"Eupatorium cannabinum";0.096;0.04;"Increase";50;124;"VPR";"h";"abundant";87.5;0;"Insect-pollinated"
"Euphorbia amygdaloides";-0.01;0.016;"Trendless";204;385;"Gr";"d";"abundant";100;0;"Insect-pollinated"
"Euphorbia cyparissias";-0.092;0.019;"Decline";199;411;"Gr";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Euphorbia exigua";-0.155;0.024;"Decline";103;395;"Gr";"d";"abundant";100;0;"Insect-pollinated"
"Euphorbia helioscopia";-0.08;0.022;"Decline";108;503;"Gr";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Euphorbia peplus";0.011;0.04;"Trendless";50;200;"Gr";"d";"abundant";85.7142857142857;0;"Insect-pollinated"
"Euphorbia serrata";0.144;0.058;"Increase";38;59;"Gr";"d";NA;100;0;"Insect-pollinated"
"Fagus sylvatica";0.01;0.01;"Trendless";677;1024;"VPR";"br";"absence";16.6666666666667;83.3333333333333;"Wind-pollinated"
"Fallopia convolvulus";-0.016;0.005;"Decline";1017;2718;"W";"dt";"little";14.2857142857143;14.2857142857143;"Other"
"Festuca heterophylla";0.035;0.029;"Increase";53;178;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Festuca ovina";-0.024;0.015;"Decline";127;408;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Festuca rubra";-0.107;0.011;"Decline";307;855;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Ficaria verna";0.064;0.039;"Increase";66;172;"Ye";"d";"very abundant";100;0;"Insect-pollinated"
"Filago germanica";-0.071;0.092;"Trendless";14;38;"Ye";"h";NA;66.6666666666667;16.6666666666667;"Insect-pollinated"
"Filipendula ulmaria";-0.028;0.029;"Trendless";84;141;"W";"d";"absence";66.6666666666667;0;"Insect-pollinated"
"Foeniculum vulgare";0.042;0.036;"Increase";64;98;"Ye";"h";"abundant";100;0;"Insect-pollinated"
"Fragaria vesca";-0.072;0.012;"Decline";396;754;"W";"d";"abundant";83.3333333333333;0;"Insect-pollinated"
"Frangula alnus";0.009;0.019;"Trendless";197;374;"Gr";"d";"little";100;0;"Insect-pollinated"
"Fraxinus excelsior";-0.022;0.006;"Decline";1347;2340;"VPR";"t";NA;0;100;"Wind-pollinated"
"Fumaria capreolata";-0.002;0.038;"Trendless";34;89;"VPR";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Fumaria officinalis";-0.042;0.024;"Decline";68;388;"VPR";"d";"abundant";71.4285714285714;0;"Insect-pollinated"
"Galeopsis tetrahit";0.092;0.018;"Increase";154;489;"VPR";"l";"abundant";42.8571428571429;0;"Other"
"Galium album";0.615;0.108;"Increase";21;119;"W";"d";NA;60;0;"Insect-pollinated"
"Galium aparine";-0.062;0.005;"Decline";1735;4355;"W";"d";"little";55.5555555555556;0;"Insect-pollinated"
"Galium mollugo";0.017;0.013;"Increase";378;842;"W";"d";"little";71.4285714285714;0;"Insect-pollinated"
"Galium odoratum";-0.058;0.033;"Decline";101;160;"W";"d";"very abundant";66.6666666666667;0;"Insect-pollinated"
"Galium palustre";-0.034;0.044;"Trendless";31;109;"W";"d";"little";88.8888888888889;0;"Insect-pollinated"
"Galium parisiense";0.171;0.067;"Increase";23;66;"Gr";"d";NA;100;0;"Insect-pollinated"
"Galium pumilum";0.061;0.04;"Increase";69;146;"W";"d";NA;83.3333333333333;0;"Insect-pollinated"
"Galium saxatile";0.014;0.061;"Trendless";45;84;"W";"d";"little";100;0;"Insect-pollinated"
"Galium verum";0.001;0.025;"Trendless";136;342;"Ye";"d";"abundant";70;10;"Insect-pollinated"
"Genista pilosa";0.012;0.033;"Trendless";79;128;"Ye";"fl";"absence";100;0;"Insect-pollinated"
"Genista tinctoria";0.057;0.035;"Increase";43;133;"Ye";"fl";"absence";83.3333333333333;0;"Insect-pollinated"
"Geranium columbinum";0.082;0.018;"Increase";142;427;"VPR";"d";NA;0;0;"Other"
"Geranium dissectum";-0.105;0.006;"Decline";902;2884;"VPR";"d";"little";28.5714285714286;0;"Other"
"Geranium molle";0.035;0.01;"Increase";483;1720;"VPR";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Geranium purpureum";0.199;0.07;"Increase";28;80;"VPR";"d";NA;25;0;"Other"
"Geranium pusillum";-0.064;0.012;"Decline";226;1212;"VPR";"d";"abundant";33.3333333333333;0;"Other"
"Geranium pyrenaicum";0.041;0.048;"Trendless";30;113;"B";"d";"abundant";66.6666666666667;0;"Insect-pollinated"
"Geranium robertianum";-0.033;0.008;"Decline";756;1585;"VPR";"d";"little";50;0;"Insect-pollinated"
"Geranium rotundifolium";-0.002;0.013;"Trendless";252;1158;"VPR";"d";NA;42.8571428571429;0;"Other"
"Geranium sylvaticum";0.164;0.069;"Increase";35;43;"VPR";"d";"little";100;0;"Insect-pollinated"
